id_title,quote_orig,quote_eng,attrib_to,locus,locus_form,comment,used
aristotle_pol_zoon,Ὁ ἄνθρωπος φύσει πολιτικὸν ζῷον.,The human is by nature a political animal.,Aristotle,Arist. Pol. 1253a,𝐀𝐫𝐢𝐬𝐭. 𝑷𝒐𝒍. 𝟏𝟐𝟓𝟑𝐚,"According to Aristotle, humans inherently strive to from and live in polities.",0
heraclitus_river1,Δὶς ἐς τὸν αὐτὸν ποταμὸν οὐκ ἂν ἐμβαίης.,You cannot step into the same river twice.,Heraclitus quoted by Plato,Pl. Cra. 402a,𝐏𝐥. 𝑪𝒓𝒂. 𝟒𝟎𝟐𝐚,Possible interpretation: the Cosmos that is in constant flux is never in the same state twice.,0
plautus_enough,Dictum sapienti sat est.,A word is enough for the wise.,Plautus,Plaut. Persa 729.,𝐏𝐥𝐚𝐮𝐭. 𝑷𝒆𝒓𝒔𝒂 𝟕𝟐𝟗.,The character Sagaristio expressing that no further explanation is needed.,0
aristotle_plato,"Amicus Plato, sed magis amica veritas.","Plato is a friend, but a greater friend is truth.",Shortened Latin paraphrasing of Aristotle,Arist. Eth. Nic. 1096a,𝐀𝐫𝐢𝐬𝐭. 𝑬𝒕𝒉. 𝑵𝒊𝒄. 𝟏𝟎𝟗𝟔𝐚,"Although a pupil and friend of Plato, Aristotle will criticize the theory of Forms, if needed.",0
cicero_work,Iucundi acti labores.,Pleasant are the labours that have been done.,Proverb quoted by Cicero,Cic. Fin. 2.32,𝐂𝐢𝐜. 𝑭𝒊𝒏. 𝟐.𝟑𝟐,Cicero argues that memories of past unpleasantness can be pleasant.,0
cicero_law,Salus populi suprema lex esto.,Let the well-being of the people be the highest law.,M. Tullius Cicero,Cic. Leg. 3.8,𝐂𝐢𝐜. 𝑳𝒆𝒈. 𝟑.𝟖,Became an often cited—less followed—maxim.,0
cicero_to_err,Errare mehercule malo cum Platone… quam cum istis vera sentire.,"By Hercules, I prefer to err with Plato... than to come to truths with those people.",M. Tullius Cicero,Cic. Tusc. 1.39,𝐂𝐢𝐜. 𝑻𝒖𝒔𝒄. 𝟏.𝟑𝟗,I.e. the Pythagorians. An interesting opposition to Arist. Eth. Nic. 1096a.,0
diogenes_sun,Μικρὸν ἀπὸ τοῦ ἡλίου μετάστηθι.,Move a little out of the Sun's way.,Attributed to Diogenes the Cynic,Plut. Alex. 14.3,𝐏𝐥𝐮𝐭. 𝑨𝒍𝒆𝒙. 𝟏𝟒.𝟑,When Alexander the Great asked Diogenes if he could do anything for him.,0
alexander_diog,"Εἰ μὴ Ἀλέξανδρος ἤμην, Διογένης ἂν ἤμην.","If I were not Alexander, I would be Diogenes.",Attributed to Alexander the Great,Plut. Alex. 14.3,𝐏𝐥𝐮𝐭. 𝑨𝒍𝒆𝒙. 𝟏𝟒.𝟑,Supposedly said after his encounter with the Cynic.,0
heraclitus_river2,"Ποταμοῖσι τοῖσιν αὐτοῖσιν ἐμϐαίνουσιν, ἕτερα καὶ ἕτερα ὕδατα ἐπιρρεῖ.","On those stepping into the same river, different and different waters flow.",Heraclitus,DK22B12,𝐃𝐊𝟐𝟐𝐁𝟏𝟐,A less paradoxical variation of the more famous river fragment. ,0
heraclitus_learn,Ὁδὸς ἄνω κάτω μία καὶ ὡυτή.,Road up and down is one and the same.,Heraclitus,DK22B60,𝐃𝐊𝟐𝟐𝐁𝟔𝟎,"Seemingly paradoxical ""unity of opposites"", a hallmark of Heraclitus' philosophy.",0
heraclitus_child,"Αἰὼν παῖς ἐστι παίζων, πεσσεύων· παιδὸς ἡ βασιληίη.","An eon is a child playing, playing draughts. The kingdom is the child's. ",Heraclitus,DK22B52,𝐃𝐊𝟐𝟐𝐁𝟓𝟐,Probably the most obscure aphorism attributed to Heraclitus.,0
